Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Leukaemia,2,1.70,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,All Causes,2737,2737.16,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Multiple sclerosis,0,0.14,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Falls,12,11.90,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Rabies,1,1.02,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other chromosomal anomalies,1,0.88,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Otitis media,0,0.05,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Cardiovascular diseases,10,9.98,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Intestinal nematode infections,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Musculoskeletal diseases,10,9.95,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Birth asphyxia and birth trauma,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other respiratory diseases,8,7.87,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Ovary cancer,2,1.81,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Skin diseases,13,13.30,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Meningitis,24,23.81,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Digestive diseases,28,28.01,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Stomach cancer,3,2.96,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,"Fire, heat and hot substances",12,12.38,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Peptic ulcer disease,7,7.02,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Protein-energy malnutrition,20,20.20,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other genitourinary diseases,3,2.58,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Breast cancer,9,8.69,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Iodine deficiency,0,0.30,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Malaria,37,36.66,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Otitis media,0,0.10,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Dengue,0,0.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,All Causes,1152,1151.72,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Cirrhosis of the liver,2,2.43,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Childhood-cluster diseases,0,0.25,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Diphtheria,0,0.32,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Oesophagus cancer,13,12.54,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Iodine deficiency,0,0.18,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Injuries,99,99.17,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Lower respiratory infections,33,33.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Parasitic and vector diseases,24,23.64,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Stomach cancer,15,15.08,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Nutritional deficiencies,59,59.44,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Respiratory infections,80,80.16,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Stomach cancer,2,2.20,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Poisonings,5,5.35,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Urolithiasis,0,0.46,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other infectious diseases,10,9.99,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Down's syndrome,0,0.11,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Whooping cough,1,0.69,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Asthma,1,1.42,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Respiratory diseases,19,19.29,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Genitourinary diseases,13,12.66,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Communicable & other Group I,327,326.64,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Upper respiratory infections,0,0.28,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Protein-energy malnutrition,71,70.84,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Communicable & other Group I,1015,1014.99,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other musculoskeletal disorders,1,1.20,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Noncommunicable diseases,251,251.20,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,"Endocrine, blood, immune disorders",18,18.01,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Pancreas cancer,6,6.04,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other digestive diseases,21,20.72,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Encephalitis,2,1.66,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Mouth and oropharynx cancers,2,1.92,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Rheumatic heart disease,2,1.59,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Diarrhoeal diseases,86,85.65,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other musculoskeletal disorders,2,1.73,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,"Trachea, bronchus, lung cancers",8,7.51,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Lower respiratory infections,175,175.23,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other congenital anomalies,1,0.68,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Ascariasis,0,0.12,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Falls,27,27.30,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Eating disorders,0,0.13,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Liver cancer,4,3.79,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Schizophrenia,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Falls,7,7.20,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Poisonings,2,2.47,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Protein-energy malnutrition,38,38.04,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Infectious and parasitic diseases,477,476.99,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Ischaemic heart disease,38,37.83,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Diphtheria,0,0.36,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Schistosomiasis,3,2.55,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Syphilis,3,3.32,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other mental and behavioural disorders,0,0.03,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Tuberculosis,39,39.46,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Stroke,52,52.41,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Neurological conditions,10,9.83,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Acute hepatitis B,4,3.86,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Intestinal nematode infections,0,0.06,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Diarrhoeal diseases,123,122.61,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Acute hepatitis C,0,0.32,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Hypertensive heart disease,49,48.78,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Epilepsy,11,11.09,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Leukaemia,1,1.15,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Digestive diseases,255,254.56,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,HIV/AIDS,147,146.72,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,"Trachea, bronchus, lung cancers",0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Neural tube defects,3,2.89,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other respiratory diseases,17,16.76,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Collective violence and legal intervention,6,5.73,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Ischaemic heart disease,33,33.50,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Skin diseases,4,3.90,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Otitis media,0,0.15,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Alzheimer's disease and other dementias,2,2.42,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,"Lymphomas, multiple myeloma",2,1.93,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Rabies,2,1.83,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Intentional injuries,13,12.96,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Rheumatic heart disease,5,5.15,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Syphilis,11,10.67,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Tetanus,11,10.99,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Protein-energy malnutrition,27,26.74,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other neonatal conditions,6,5.96,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Diarrhoeal diseases,86,85.51,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other mental and behavioural disorders,0,0.04,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Upper respiratory infections,0,0.06,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Neural tube defects,0,0.04,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Childhood-cluster diseases,63,62.85,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Chronic obstructive pulmonary disease,1,0.65,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Iron-deficiency anaemia,10,9.96,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Urolithiasis,0,0.11,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Intestinal nematode infections,0,0.07,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Schistosomiasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other neurological conditions,1,1.26,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Drowning,5,5.33,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Whooping cough,1,1.13,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other nutritional deficiencies,0,0.13,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Rheumatic heart disease,6,5.81,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,STDs excluding HIV,2,2.37,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other digestive diseases,53,52.90,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Peptic ulcer disease,10,10.08,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Schizophrenia,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Otitis media,0,0.16,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other respiratory diseases,12,12.36,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Urolithiasis,1,1.07,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Stroke,2,2.40,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,"Lymphomas, multiple myeloma",2,1.89,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Stroke,55,55.07,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Exposure to forces of nature,0,0.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Ischaemic heart disease,25,25.41,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Malaria,110,110.04,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Protein-energy malnutrition,40,39.86,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Hypertensive heart disease,5,5.45,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Stomach cancer,2,2.27,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Digestive diseases,80,80.26,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Multiple sclerosis,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other congenital anomalies,1,0.93,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Birth asphyxia and birth trauma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Infectious and parasitic diseases,375,375.24,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Whooping cough,10,10.11,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Oesophagus cancer,29,29.12,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other unintentional injuries,10,10.45,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Iodine deficiency,0,0.16,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Musculoskeletal diseases,3,2.70,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Corpus uteri cancer,0,0.24,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Mouth and oropharynx cancers,6,6.39,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Nutritional deficiencies,64,64.44,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Lower respiratory infections,165,165.07,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Epilepsy,8,7.66,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Falls,9,9.22,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other STDs,0,0.11,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Dengue,0,0.29,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Appendicitis,8,8.20,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Rabies,2,2.08,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Skin diseases,4,3.62,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,"Endocrine, blood, immune disorders",14,13.97,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Diabetes mellitus,18,17.76,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Lower respiratory infections,212,211.84,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Respiratory diseases,14,14.21,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Upper respiratory infections,0,0.42,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Trypanosomiasis,2,1.98,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other musculoskeletal disorders,1,0.90,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other genitourinary diseases,2,2.08,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other circulatory diseases,5,5.07,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Acute hepatitis B,2,1.91,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Interpersonal violence,4,4.48,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Mouth and oropharynx cancers,0,0.06,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Down's syndrome,1,0.94,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Oesophagus cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Digestive diseases,42,41.54,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Measles,8,7.61,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Rheumatic heart disease,17,16.68,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Collective violence and legal intervention,0,0.31,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Musculoskeletal diseases,1,0.67,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Diarrhoeal diseases,53,52.83,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Malaria,9,8.89,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Cervix uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Syphilis,0,0.20,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,HIV/AIDS,335,335.08,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Self-harm,4,4.08,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Multiple sclerosis,1,0.53,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Chlamydia,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Diabetes mellitus,19,19.12,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Neurological conditions,23,22.57,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Acute hepatitis B,8,7.53,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Poisonings,3,3.08,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Noncommunicable diseases,340,339.89,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other chromosomal anomalies,0,0.13,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Encephalitis,2,2.24,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Rabies,2,2.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Mental and behavioral disorders,5,5.01,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Alzheimer's disease and other dementias,2,1.82,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Alcohol use disorders,1,0.84,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Epilepsy,10,9.94,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Parkinson's disease,1,0.99,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Syphilis,11,10.67,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other nutritional deficiencies,0,0.02,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other congenital anomalies,3,3.12,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Cirrhosis of the liver,11,11.36,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Neural tube defects,3,2.73,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Hypertensive heart disease,28,28.05,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Leukaemia,2,1.68,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Communicable & other Group I,770,769.74,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Infectious and parasitic diseases,511,510.83,,,
