Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
Life expectancy at birth (years),Published,1990,Africa,Low-income,Malawi,Female,46,46,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Malawi,Female,44,44,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Malawi,Female,60,60,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Nepal,Female,63,63,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Nepal,Female,69,69,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Rwanda,Female,50,50,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Rwanda,Female,47,47,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Low-income,Somalia,Female,50,50,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Somalia,Female,52,52,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,Somalia,Female,55,55,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,United Republic of Tanzania,Female,52,52,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,United Republic of Tanzania,Female,51,51,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,United Republic of Tanzania,Female,63,63,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Viet Nam,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Viet Nam,Female,80,80,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Zambia,Female,47,47,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Zambia,Female,43,43,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Angola,Female,45,45,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Angola,Female,47,47,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Angola,Female,52,52,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Azerbaijan,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Bolivia (Plurinational State of),Female,60,60,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Bolivia (Plurinational State of),Female,65,65,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Bolivia (Plurinational State of),Female,70,70,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,C?te d'Ivoire,Female,49,49,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,C?te d'Ivoire,Female,54,54,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Congo,Female,58,58,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Ecuador,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Ecuador,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Ecuador,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Georgia,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Guyana,Female,67,67,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Guyana,Female,67,67,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Guyana,Female,67,67,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,India,Female,63,63,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,India,Female,68,68,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Iraq,Female,71,71,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Sri Lanka,Female,75,75,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Sri Lanka,Female,75,75,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Sri Lanka,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Republic of Moldova,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Marshall Islands,Female,65,65,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Marshall Islands,Female,68,68,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Marshall Islands,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Nicaragua,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Nicaragua,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Philippines,Female,70,70,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Sudan,Female,57,57,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Sudan,Female,60,60,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Sudan,Female,65,65,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Sao Tome and Principe,Female,69,69,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Sao Tome and Principe,Female,65,65,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Thailand,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Turkmenistan,Female,65,65,,,
Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Turkmenistan,Female,67,67,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Timor-Leste,Female,51,51,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Tunisia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Ukraine,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Vanuatu,Female,71,71,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Argentina,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Argentina,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Bulgaria,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Brazil,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Botswana,Female,47,47,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Costa Rica,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Cuba,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Cuba,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Dominica,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Fiji,Female,70,70,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Gabon,Female,60,60,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Kazakhstan,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Saint Kitts and Nevis,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Saint Kitts and Nevis,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Upper-middle-income,Lebanon,Female,71,71,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Saint Lucia,Female,77,77,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Lithuania,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Latvia,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,The former Yugoslav Republic of Macedonia,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Montenegro,Female,79,79,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Montenegro,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Mauritius,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Panama,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Peru,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Romania,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Russian Federation,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Russian Federation,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Serbia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Turkey,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Tuvalu,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Female,80,80,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,South Africa,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,South Africa,Female,62,62,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,71,71,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,76,76,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Timor-Leste,Female,60,60,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Timor-Leste,Female,68,68,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Tunisia,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Samoa,Female,69,69,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Samoa,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Samoa,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Bulgaria,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Belarus,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Belarus,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Belarus,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Chile,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Chile,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Costa Rica,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Dominican Republic,Female,70,70,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Dominican Republic,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Dominican Republic,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Gabon,Female,64,64,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Jamaica,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Jamaica,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Jamaica,Female,77,77,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Upper-middle-income,Lebanon,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Upper-middle-income,Lebanon,Female,82,82,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Saint Lucia,Female,74,74,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Mexico,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Mexico,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Mexico,Female,79,79,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Mauritius,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Namibia,Female,64,64,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Namibia,Female,57,57,,,
Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Namibia,Female,69,69,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Palau,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Palau,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Romania,Female,73,73,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Suriname,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Suriname,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Suriname,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Tuvalu,Female,70,70,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Andorra,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Australia,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Australia,Female,83,83,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Australia,Female,85,85,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Bahrain,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Barbados,Female,77,77,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Barbados,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Switzerland,Female,83,83,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Switzerland,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Cyprus,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Denmark,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Denmark,Female,79,79,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Denmark,Female,82,82,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Finland,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,United Kingdom,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,United Kingdom,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Croatia,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Croatia,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Ireland,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Italy,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Italy,Female,83,83,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Italy,Female,85,85,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Kuwait,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Monaco,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Monaco,Female,84,84,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Norway,Female,82,82,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Norway,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,New Zealand,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Qatar,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Qatar,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Qatar,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,San Marino,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Slovenia,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Slovenia,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,United States of America,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,United States of America,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Low-income,Afghanistan,Female,50,50,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Burkina Faso,Female,51,51,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Burkina Faso,Female,50,50,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Burkina Faso,Female,59,59,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Democratic Republic of the Congo,Female,53,53,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Eritrea,Female,50,50,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Eritrea,Female,54,54,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Guinea,Female,52,52,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Guinea,Female,59,59,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Guinea-Bissau,Female,52,52,,,
Life expectancy at birth (years),Published,1990,Europe,Low-income,Kyrgyzstan,Female,69,69,,,
Life expectancy at birth (years),Published,2000,Europe,Low-income,Kyrgyzstan,Female,69,69,,,
Life expectancy at birth (years),Published,2012,Europe,Low-income,Kyrgyzstan,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Liberia,Female,63,63,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Mali,Female,46,46,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Mali,Female,48,48,,,
Life expectancy at birth (years),Published,2000,Africa,Low-income,Mauritania,Female,62,62,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Mauritania,Female,65,65,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Niger,Female,43,43,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Democratic People's Republic of Korea,Female,73,73,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Democratic People's Republic of Korea,Female,69,69,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Democratic People's Republic of Korea,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Africa,Low-income,Sierra Leone,Female,46,46,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Low-income,South Sudan,Female,44,44,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,South Sudan,Female,50,50,,,
Life expectancy at birth (years),Published,2000,Europe,Low-income,Tajikistan,Female,65,65,,,
Life expectancy at birth (years),Published,2012,Europe,Low-income,Tajikistan,Female,69,69,,,
Life expectancy at birth (years),Published,1990,Africa,Low-income,Uganda,Female,49,49,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Low-income,Yemen,Female,59,59,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Yemen,Female,62,62,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,Yemen,Female,65,65,,,
Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Albania,Female,71,71,,,
Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Albania,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Belize,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Belize,Female,78,78,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Bhutan,Female,53,53,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Cameroon,Female,56,56,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Cameroon,Female,52,52,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Cameroon,Female,57,57,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Djibouti,Female,63,63,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Egypt,Female,67,67,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Egypt,Female,71,71,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Guatemala,Female,65,65,,,
Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Guatemala,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Guatemala,Female,75,75,,,
Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Honduras,Female,69,69,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,64,64,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,71,71,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,76,76,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Kiribati,Female,69,69,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Lesotho,Female,62,62,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Lesotho,Female,49,49,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Maldives,Female,57,57,,,
Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Maldives,Female,68,68,,,
Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Maldives,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Mongolia,Female,64,64,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Pakistan,Female,61,61,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Pakistan,Female,64,64,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Pakistan,Female,66,66,,,
Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Paraguay,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Solomon Islands,Female,63,63,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Solomon Islands,Female,67,67,,,
Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Swaziland,Female,61,61,,,
Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Swaziland,Female,49,49,,,
Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Swaziland,Female,55,55,,,
Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Thailand,Female,72,72,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Tonga,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Tonga,Female,71,71,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Tonga,Female,69,69,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Female,74,74,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,80,80,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Brazil,Female,70,70,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Colombia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Colombia,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Colombia,Female,83,83,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Dominica,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Algeria,Female,69,69,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Algeria,Female,71,71,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Grenada,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Grenada,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Grenada,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Kazakhstan,Female,70,70,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Upper-middle-income,Libya,Female,70,70,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Upper-middle-income,Libya,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Upper-middle-income,Libya,Female,77,77,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Latvia,Female,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,The former Yugoslav Republic of Macedonia,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,The former Yugoslav Republic of Macedonia,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Western Pacific,Upper-middle-income,Malaysia,Female,73,73,,,
Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Malaysia,Female,74,74,,,
Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Malaysia,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Panama,Female,76,76,,,
Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Poland,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Poland,Female,78,78,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Poland,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Serbia,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Seychelles,Female,75,75,,,
Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Seychelles,Female,77,77,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Uruguay,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Uruguay,Female,79,79,,,
Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Uruguay,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Female,74,74,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Male,76,76,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Antigua and Barbuda,Male,70,70,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Antigua and Barbuda,Male,73,73,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Australia,Male,74,74,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Australia,Male,81,81,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Austria,Male,72,72,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Bahrain,Male,73,73,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Bahamas,Male,69,69,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Canada,Male,80,80,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Switzerland,Male,74,74,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Switzerland,Male,81,81,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Cook Islands,Male,67,67,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Germany,Male,75,75,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Denmark,Male,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Finland,Male,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,France,Male,73,73,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,France,Male,79,79,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,United Kingdom,Male,73,73,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Croatia,Male,71,71,,,
